,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,USSN0C10 Curncy,,,USSN0110 Curncy,,,USSN0A10 Curncy,,,USSN011 Curncy,,,USSN0C2 Curncy,,,USSN0210 Curncy,,
6/12/2023,116.268,36.99,33.23,114.39,41.33,61.6,118.608,50.5,47.75,146.314,37.19,35.88,129.218,195.43,225.06,109.227,26.67,20.99
5/12/2023,116.268,36.99,33.23,114.39,41.33,61.6,115.4,49.53,45.86,146.314,37.19,35.88,129.218,195.43,225.06,109.227,27.07,22.72
4/12/2023,116.268,36.99,33.23,114.39,41.33,61.6,114.7,49.51,47.93,146.314,37.19,35.88,129.218,195.43,225.06,109.492,27.77,26.72
1/12/2023,116.268,36.99,33.23,114.39,41.33,61.6,111.9,50.06,50.51,146.314,37.19,35.88,129.218,195.43,225.06,109.657,27.77,28.13
30/11/2023,112.8,36.06,28.46,112.75,41.7,61.1,112,50.08,49.99,146.314,37.19,37.79,129.218,196.32,250.83,108.58,28.14,31.86
29/11/2023,111.6,35.71,30.78,114.255,42.36,65.19,119.155,47.06,41.63,143.848,36.84,45.52,119.743,194.94,267.23,110.856,28.01,30.22
28/11/2023,111.1,36.91,30.22,111.3,41.43,63.98,119.41,47.63,53.47,139.707,37.67,45.58,147.18,184.59,243.14,110.856,28.01,30.22
27/11/2023,111.9,36.96,30.34,114.507,41.21,65.26,120.793,48.33,53.08,139.482,37.67,45.43,147.18,184.6,254.09,110.856,28.01,30.22
24/11/2023,115.285,36.61,30.05,114.256,41.55,66.43,116.3,46.74,48.03,139.617,38.16,46.16,115.039,169.04,222.36,111.304,28.26,30.31
23/11/2023,115.531,36.77,35.61,122.63,35.83,53.82,118,50.58,48.84,139.617,38.16,46.16,115.016,172,248.61,110.1,28.37,30.69
22/11/2023,117.115,36.65,36.4,114.952,29.76,40.61,116.3,54.09,47.55,139.617,38.16,46.16,115.266,172,264.86,110.3,28.85,32.43
21/11/2023,113.2,35.48,33.32,112.75,30.18,41.03,119.7,61.97,50.61,136.29,37.65,43.5,118.215,172.36,282.88,113.565,27.77,31.03
20/11/2023,114.3,37.62,36.25,114.5,29.98,40.84,126.2,60.44,46.81,139.86,40.83,42.69,147.18,159.2,269.45,112.21,33.37,30.14
17/11/2023,114.6,37.69,36.27,113.9,29.88,40.47,127.6,70.9,64.55,145.205,39.25,38.37,121.661,148.23,243.94,115.541,32.22,25.76
16/11/2023,118,36.94,33.83,119.031,27.4,35.32,126.9,74.74,67.51,147.065,39.49,38.51,147.18,136.54,234.9,114.324,32.06,28.41
15/11/2023,119.5,42.66,34.64,117,26.74,33.94,120.1,76.51,57.43,143.95,39.88,36.27,147.18,136.69,234.69,111.41,31.41,22.79
14/11/2023,121.1,50.68,34.36,121.511,24.97,26.59,120.2,84.29,56.97,151.375,38.19,25.04,128.299,130.28,223.56,110.69,31.35,22.15
13/11/2023,124.6,52.16,35.66,119.41,30.62,27.93,120.6,84.37,57.04,146.98,37.43,18.45,147.18,123.63,209.15,111.34,31.31,24.77
10/11/2023,121.3,56.65,31.41,117.2,30.06,25.16,123.4,86.06,60.8,147.283,39.91,18.47,123.14,111.2,183.89,113.2,32.43,27
9/11/2023,119.8,57.15,30.14,115.919,29.83,23.77,125.2,87.42,63.06,145.89,40,20.17,147.18,97.02,151.74,115.813,33.93,27.14
8/11/2023,117,56.64,28.29,119.303,28.62,20.2,121,86.84,58.42,144.87,40.42,22.58,125.741,85.87,125.64,113.78,33.74,23.89
7/11/2023,120.6,56.26,32.71,120.774,28.97,19.8,126.006,96,56.17,147.67,41.79,28.47,147.18,70.71,85.71,114,34.18,26.76
6/11/2023,121.9,57.04,44.14,120.774,29.17,20.22,136.784,94.39,36.24,148.95,42.46,32.63,147.18,70.91,98.96,115,34.68,31.2
3/11/2023,121.6,57.17,46.66,118.5,32.73,15.25,132.7,95.83,37.05,148.95,42.46,32.63,127.211,59.53,51.38,118,35.06,30.99
2/11/2023,124,63.01,47.51,119.25,32.8,19.44,136.3,95.27,34.62,147.306,42.42,41.27,124.708,59.2,62.24,120,35.61,31.88
1/11/2023,123.6,64.45,47.18,120,33.69,26.02,139.33,102.32,31.91,147.29,42.42,44.7,126.155,59.16,62.78,119.62,35.63,31.8
31/10/2023,127.8,67.87,48.33,123,32.63,24.72,139.661,102.56,32.96,150.118,46.95,43.96,130.628,61.45,60.88,123.241,34.48,30.32
30/10/2023,130.1,67.9,47.52,125,32.2,25.74,136.3,102.58,33.11,149.595,47.7,43.96,130.188,61.42,60.77,121.985,34.5,30.29
27/10/2023,129.4,68.36,48.1,124.5,32.36,27.09,133.5,107.03,31.8,150.125,49.81,44.02,130.188,61.42,60.77,120.7,34.76,30.11
26/10/2023,135.119,67.2,40.42,125.5,32.19,26.62,137.1,120.45,48.52,147.686,51.41,48.97,126.61,61.06,63.23,122.5,34.41,31.05
25/10/2023,132.4,67.13,39.5,126,35.46,26.58,138.9,126.08,58,144.95,53.53,46.96,126.431,62.82,85.64,126.55,32.55,25.48
24/10/2023,126.6,66.16,32.46,125.5,36.11,32.12,138.2,126.2,84.65,150.329,52.57,44.92,129.598,62.54,85.43,124.286,32.5,24.32
23/10/2023,131,81.52,36.75,127.5,35.85,31.07,133.7,126.1,81.54,145.97,51.81,42.29,140.039,61.88,78.99,122.86,33.86,40.22
20/10/2023,134.7,86.53,32.95,131.5,34.13,24.99,135.5,127.18,107.2,152.984,50.14,43.43,140.039,62.3,79.01,120.82,33.88,39.75
19/10/2023,134.9,86.59,32.9,128.748,33.81,22.98,135.7,131.43,116.43,148.829,50.65,42.42,131.969,59.71,71.81,121.052,35.06,39.76
18/10/2023,131.4,86.45,50.05,128,34.02,23.1,133,141.63,124,146.7,51.48,43.05,134.912,59.45,71.14,121.052,35.06,39.76
17/10/2023,131.3,86.44,71.58,126,33.96,23.27,129.7,149.57,138.23,146.41,52.01,46.35,133.905,59.44,72.39,124.044,36.71,35.87
16/10/2023,129.5,86.41,76.08,124.1,33.98,40.49,129.2,152.94,138.75,147.134,52.6,49.71,134.618,59.49,72.98,124.044,36.71,35.87
13/10/2023,128.5,90.73,88.01,124.1,33.98,40.49,138.4,151.22,137.28,147.134,52.6,49.71,134.618,59.49,72.98,122.81,36.93,36.03
12/10/2023,128.6,90.73,89.07,124,34.48,40.5,130.2,150.65,136.35,153.52,51.23,41.36,129.277,58.16,70.97,121.71,38.1,36.3
11/10/2023,126.2,96.23,88.68,123.1,34.63,40.39,144.946,146.59,117.17,153.52,51.23,41.36,144.356,49.37,29.5,121.71,38.1,36.3
10/10/2023,132.1,94.95,85.27,127,33.04,35.3,147.732,146.34,131,154.839,53.74,44.02,146.353,49.29,29.47,124.2,37.74,34.29
9/10/2023,131.7,95.12,86.43,127.7,33.01,35.38,131.2,144.04,131.54,152.239,53.64,45.94,141.545,49.24,34.54,122.533,37.78,37.9
6/10/2023,131.7,95.16,86.33,127.7,34.38,35.1,142.2,141.69,118.12,152.239,53.64,45.94,141.545,49.24,34.54,123.31,37.74,35.56
5/10/2023,142.002,91.99,79.49,126.5,34.37,42.37,131.8,143.7,117.14,149.986,53.97,46.17,141.214,49.39,34.58,116.09,33.43,29.42
4/10/2023,130.3,90.11,78.69,127.1,34.94,43.03,117.5,139.37,127.22,141.93,51.45,47.06,138.344,49.17,34.92,115.831,33.65,30.11
3/10/2023,137.1,88.55,76.01,129.5,34.44,38.87,118.9,141.53,127.85,142.91,51.46,48.41,138.048,51.97,54.66,116.07,35.02,37.47
2/10/2023,127.1,95.78,73.94,122,34.08,30.09,126.3,140.32,122.11,139.95,50.96,48.04,134.831,53.09,53.82,114.28,37.86,41.53
29/09/2023,123.7,98.98,74.24,121.529,34.33,29.54,119.8,139.56,131.57,143.714,52.06,43.72,134.831,53.09,53.82,114,50.98,41.59
28/09/2023,124,99.31,76.83,121.5,34.61,30.53,119.2,139.69,168.84,138.46,50.94,56.56,137.288,55.07,52.5,114,54.63,42.33
27/09/2023,126.6,99.14,74.32,121.3,34.62,31.22,103.1,132.31,164.85,139.574,52.06,58.04,133.419,54.9,61.82,110.374,56.62,39.64
26/09/2023,122.7,99.08,73.98,119,34.6,44.04,109.6,132.81,161.67,132.99,56.36,52.87,131.529,54.75,60.56,105.715,55.33,32.52
25/09/2023,121.1,99.01,119.27,117.6,34.51,45.9,102.5,131.29,157.48,134,58.19,61.72,133.337,54.9,62.19,104.5,56.28,33.04
22/09/2023,110.5,94.95,122.84,111.5,30.93,36.34,102.8,131.29,159.6,131,60.33,62.89,133.337,54.9,62.19,106.178,56.03,31.97
21/09/2023,115.162,94.61,120.47,112.5,31.04,36.04,115.681,130.77,156.51,136.11,61.28,63.07,126.854,52.81,57.03,103.5,56.03,29.91
20/09/2023,105.9,91.1,110.22,109.24,30.61,32.2,112.086,130.93,185.72,131.97,64.2,58.94,126.608,52.82,56.83,106.684,55.95,28.72
19/09/2023,107.9,90.98,110.05,108.004,33.73,31.36,113.401,131.84,205.64,132.01,66.86,61.5,123.587,52.67,70.22,109.43,55.29,25.67
18/09/2023,104.4,100.03,107.88,106.16,33.19,30.55,101.7,130.41,205.77,131,66.74,61.55,131.923,50.23,63.15,109.43,55.29,25.67
15/09/2023,106.77,104.76,116.12,106.7,34.01,32.35,121.465,122.07,177.82,139.996,64.2,58.24,131.923,50.23,63.15,109.43,55.29,25.67
14/09/2023,106.77,105.1,116.1,107,34.29,33.18,106.6,115.54,163.74,143.651,64.1,58.11,133.01,50.62,64.18,109.43,56.47,30.43
13/09/2023,105.4,106.16,133.94,111.903,32.47,22.57,103.7,116.75,162.67,150.519,64.85,54.02,132.414,50.85,64.43,107.2,56.18,35.64
12/9/2023,123.285,97.5,97.4,113.994,34.5,19.51,104.6,117.31,162.77,150.519,64.85,54.02,141.415,47.58,52.99,105.98,56.09,36.88
11/9/2023,111,92.82,80.51,112,34.39,18.45,110,117.12,164.35,143.88,66.02,49.34,142.235,47.59,53.29,107.122,55.97,38.96
8/9/2023,111.7,93.48,80.47,111.5,34.81,24.23,122.012,115.41,153.82,151.684,64.29,49.25,142.235,47.59,53.29,105.51,55.81,39.61
7/9/2023,112.4,93.53,80.71,110.6,34.77,23.62,101.9,104.51,119.73,149.774,64.13,49.08,139.579,47.12,52.79,106.075,55.78,41.28
6/9/2023,112.1,95.04,84.44,111.453,35.15,25.15,118.726,93.26,94.36,149.008,64.08,50.43,147.18,44.6,49.37,106.075,55.78,41.28
5/9/2023,111.9,95.1,84.34,110,35.55,23.2,106.4,87.65,82.82,145.95,63.66,50.07,147.18,44.6,49.65,104.35,55.57,39.39
4/9/2023,122.134,91.18,103.22,108.25,35.29,31,107.2,87.94,82.82,151.182,62.93,46.84,137.555,39.26,35.85,107.142,54.95,37.83
1/9/2023,122.194,91.18,115.86,109.907,35.15,34.24,109.9,87.79,84.27,151.182,62.93,46.84,137.555,39.26,35.85,105.31,55.55,37.41
31/08/2023,109.5,84.93,96.78,108.25,35.43,34.22,110.6,87.79,84.54,146.21,61.93,41.95,140.841,38.88,34.59,108.08,54.88,39.66
30/08/2023,109.3,84.92,96.46,109,35.41,34.95,110.2,87.79,84.92,149.855,61.6,46.55,138.859,39.49,34.5,108.08,54.88,39.66
29/08/2023,110.7,85.91,99.05,109.5,35.37,37.98,117.7,85.62,85.67,146.01,61.38,44.98,137.612,39.24,45.81,112.688,53.13,41.46
28/08/2023,111.2,85.9,99.14,112.5,34.24,35.86,118.3,89.61,85.53,142.95,60.92,47.58,138.729,39.27,52.17,110.64,52.95,73.51
25/08/2023,112.6,85.84,99.45,112.5,34.33,37.78,131.231,83.36,53.62,142.95,60.92,47.58,138.729,39.27,52.17,113.82,52.21,81.1
24/08/2023,118,84.66,97.55,114.6,33.77,36.92,129,83.3,88.91,150.662,59.12,63.14,140.214,39.28,59.56,113.82,52.21,81.1
23/08/2023,118.3,86.17,97.63,115.5,34.56,38.28,119.1,80.05,79.92,152.449,59.05,68.94,142.258,40.26,61.19,113.82,52.21,81.1
22/08/2023,136.028,73.82,46.75,121.827,30.6,36.47,120,83.12,84.01,156.443,59.67,74.64,148.25,38.57,57.19,111.728,52.14,85.46
21/08/2023,124.9,70.18,88.26,120.1,30.44,36.15,117.5,85.69,99.78,156.443,59.67,74.64,146.914,39.1,58.03,110.05,52.05,85.84
18/08/2023,121.6,69.92,103.67,118.3,30.74,37.02,119.9,85.41,110.9,156.443,59.67,74.64,146.914,39.1,58.03,110.578,51.97,89.09
17/08/2023,122.8,69.82,104.1,117.9,30.91,37.24,118.7,86.71,110.96,153.57,59.5,79.51,142.199,37.59,55.72,109.983,51.97,89.23
16/08/2023,119.3,69.45,107.82,115.7,30.54,39.68,111,84.51,109.97,153.129,59.51,88.73,140.386,40.48,55.01,108.38,51.91,90.87
15/08/2023,119.3,69.48,114.91,116.5,31.63,45.16,109.1,85.24,111.27,153.129,59.67,96.17,138.517,40.24,55.97,104.64,51.01,90.45
14/08/2023,118.3,69.48,116.26,114.4,33.48,44.91,109.5,85.52,115.05,147.01,58.38,92.15,130.957,35.84,44.38,109.618,48.7,85.06
11/8/2023,114.9,69.24,116.86,113.1,33.38,45.42,122.416,78.61,99.26,144.95,58.24,90.95,130.957,35.84,44.38,109.618,48.7,85.06
10/8/2023,113.4,69.27,116.9,110.4,32.69,44.18,117.9,78.57,111.17,139.95,57.13,87.8,136.529,34.08,41.94,109.618,48.7,85.06
